"Spp"	"Sum"	"Mean"	"DP"	"Max"	"Min"	"S"	"E"	"H"	"D"
"ap.davis"	27	1.04	4.39	22	0	2	0.69	0.48	0.3
"as.bimac"	2386	91.77	132.43	511	0	23	0.77	2.42	0.88
"as.fasci"	158	6.08	16.2	64	0	10	0.64	1.48	0.7
"ch.bimac"	705	27.12	75.87	273	0	5	0.73	1.18	0.67
"ci.ocela"	70	2.69	8.3	40	0	5	0.74	1.19	0.61
"ci.orien"	143	5.5	14.62	69	0	7	0.77	1.5	0.7
"co.macro"	2	0.08	0.39	2	0	1	0	0	0
"co.heter"	1	0.04	0.2	1	0	1	0	0	0
"cr.menez"	28	1.08	3.15	14	0	5	0.76	1.22	0.65
"cu.lepid"	21	0.81	4.12	21	0	1	0	0	0
"cy.gilbe"	131	5.04	18.33	81	0	2	0.96	0.66	0.47
"ge.brasi"	1020	39.23	106.35	509	0	15	0.58	1.57	0.69
"he.margi"	2	0.08	0.27	1	0	2	1	0.69	0.5
"ho.malab"	109	4.19	7.61	31	0	14	0.8	2.12	0.84
"hy.pusar"	71	2.73	8.66	43	0	7	0.64	1.25	0.59
"le.melan"	2	0.08	0.39	2	0	1	0	0	0
"le.piau"	15	0.58	0.99	3	0	8	0.96	1.99	0.85
"le.taeni"	1	0.04	0.2	1	0	1	0	0	0
"mo.costa"	1	0.04	0.2	1	0	1	0	0	0
"mo.lepid"	41	1.58	7.64	39	0	3	0.21	0.23	0.09
"or.nilot"	848	32.62	59.15	247	0	18	0.73	2.11	0.84
"pa.manag"	554	21.31	62.39	250	0	5	0.7	1.13	0.64
"pimel.sp"	6	0.23	1.18	6	0	1	0	0	0
"po.retic"	381	14.65	52.52	266	0	6	0.57	1.03	0.49
"po.vivip"	978	37.62	79.5	326	0	11	0.78	1.86	0.8
"pr.brevi"	279	10.73	33.39	164	0	12	0.55	1.37	0.6
"ps.rhomb"	1	0.04	0.2	1	0	1	0	0	0
"ps.genise"	1	0.04	0.2	1	0	1	0	0	0
"se.heter"	296	11.38	22.99	93	0	10	0.81	1.87	0.81
"se.piaba"	68	2.62	13.34	68	0	1	0	0	0
"se.spilo"	1	0.04	0.2	1	0	1	0	0	0
"st.noton"	205	7.88	25.56	115	0	4	0.7	0.97	0.57
"sy.marmo"	1	0.04	0.2	1	0	1	0	0	0
"te.chalc"	134	5.15	18.38	76	0	2	0.99	0.68	0.49
"tr.signa"	208	8	27.83	141	0	6	0.61	1.1	0.51
"SomaTotalD"	8895	342.12	807.31	3484	0	194	16.69	30.09	14.31
"MediaTotalD"	254.14	9.77	23.07	99.54	0	5.54	0.48	0.86	0.41
"DPTotalD"	468.39	18.01	33.06	138.27	0	5.56	0.38	0.78	0.34
