"h.macroph";"h.grass";"h.subveg";"h.overhveg";"h.litter";"h.roots";"s.mud";"s.sand";"m.river";"m.stream";"m.distmouth";"m.maxslope";"m.maxdepth";"m.habdepth";"m.width";"a.veloc";"a.temp";"a.do";"a.transp";"s.gravel";"s.rock";"h.algae";"h.debris"
"S-R-CT1";8.3333330154419;20;10;0;0.666666686534882;0;65;30;163.2;163.2;217.15;30;106;81.3333333333333;19.64;0.166666666666667;32.9;6.51;46;1.66666662693024;3.33333325386047;12;3.33333325386048
"S-R-CP1";0;23.3333339691162;3;26.6666660308838;2.33333325386047;3.33333325386047;16.6666660308838;70;83.05;13.55;185.55;60;60;22.6666666666667;17.24;0.159151193633952;35.2;6.86333333333333;26;13.3333332538605;0;3.99999994039535;3.66666662693024
"S-A-TA1";5.83333349227905;0;16.6666660308838;33.3333320617676;23.6666660308838;0;81.6666641235352;8.3333330154419;110.2;37.1;254.55;60;154;54.6666666666667;102;0.1;34;4.82;61;1.66666662693024;8.3333330154419;28.3333332538605;10
"S-R-CT2";0;20;0;0;0;0;40;40;163.2;163.2;217.15;30;105;67;16.1;0.125;32;5.375;44;20;0;1;0
"S-R-CP2";0;0;0;33.3333320617676;1;5;0.666666686534882;87.6666641235352;83.05;13.55;185.55;60;68;32.6666666666667;18.47;0;29;3.015;33;11.6666665077209;0;0;10.3333332538605
"S-A-TA2";54.8333320617676;0.333333343267441;0;8.3333330154419;1;0;5;95;110.2;37.1;254.55;60;118;37.6666666666667;100;0;29;5;90;0;0;33.3333320617676;13.666666507721
"S-R-CT3";0;0.111111111938953;0;0;0;0;65.5555572509766;23.1111106872559;163.2;163.2;217.15;30;110;32.3333333333333;6.2;0;28.2666666666667;6;17.3333333333333;3;8.3333330154419;0;2.22222232818604
"S-R-CP3";0;0;0;0;1.5;1;48.75;22.5;83.05;13.55;185.55;60;79;32.6666666666667;15.1;0;29.6666666666667;5;50.3333333333333;28.75;0;6.75;3.66666668653488
"S-A-TA3";44.6296310424805;8.11111068725586;0;0;0.666666686534882;0;46.6666679382324;40;110.2;37.1;254.55;60;109;22.3333333333333;88;0;34;9;51.6666666666667;13.3333330154419;0;9;1.66666662693024
"S-R-CT4";0;4.16666650772095;0;0;0.833333313465118;0;95;1.83333337306976;163.2;163.2;217.15;30;74;32.3333333333333;5.4;0;32.6;6;16;0.333333343267441;2.83333325386047;7.5;5
"S-R-CP4";0;0;0;8.3333330154419;1;0;5;60;83.05;13.55;185.55;60;64;45.3333333333333;10.7;0;27.6;4.9;60;25;10;75;1
"S-A-TA4";37.3095245361328;0;0;0;0.571428596973419;0;59.1428565979004;38.7142868041992;110.2;37.1;254.55;60;87;30.3333333333333;72.2;0;29.5333333333333;9.43333333333333;67;2.14285707473755;0;0;3.28571438789368
"B-A-MU1";0;50;0;0;1;0;33.3333320617676;65;214.02;19.8333333333333;290.876666666667;30;152;32.6666666666667;270;0;29.8333333333333;5.66666666666667;48;1.66666662693024;0;1;30
"B-A-GU1";46.6666679382324;0;3.33333325386047;3.33333325386047;0;0;96.6666641235352;3.33333325386047;212.666666666667;32.3333333333333;203.833333333333;30;60;8.16666666666667;330;0;29.2333333333333;5.13666666666667;25.6666666666667;0;0;0;0
"B-R-PC2";0;2;0;0;0.400000005960465;0;39;56;196.833333333333;13.75;401.666666666667;90;110;49.3333333333333;29.6;0;29;5.635;50;4;1;0.400000005960465;0.400000005960465
"B-A-MU2";0;54;36.5999984741211;0;5;0;20.6000003814697;77;214.02;19.8333333333333;290.876666666667;30;115;22;247.63;0;29;1.815;43;2.40000009536743;0;0;10
"B-A-GU2";2.59999990463257;7.5;26;0.400000005960465;0;0;98;2;212.666666666667;32.3333333333333;203.833333333333;30;69;7;321;0;29;1.85;55;0;0;1;0
"B-R-PC3";0;0;0;0;0.333333343267441;0;33.6666679382324;63;196.833333333333;13.75;401.666666666667;90;80;50;27.3;0;29;5;32.3333333333333;3.33333325386047;0;0;0.444444447755814
"B-A-MU3";0;28.3333339691162;8.3333330154419;0;1;0;65;35;214.02;19.8333333333333;290.876666666667;30;117;25.6666666666667;234.53;0;26;5.7;63;0;0;0.333333343267441;11.666666507721
"B-A-GU3";0;13.3333330154419;0;0;0;0;87.7777786254883;6.66666650772095;212.666666666667;32.3333333333333;203.833333333333;30;68;6.83333333333333;314.2;0;24;8.8;51.6666666666667;5.55555558204651;0;25;0
"B-R-PC4";0;0;0;0;0.5;0;48.875;47.875;196.833333333333;13.75;401.666666666667;90;95;52.8333333333333;20;0;28.85;5.1;30;2;1.25;0;2.5
"B-A-MU4";0;5.55555534362793;0;0;0.444444447755814;0;91.7777786254883;3.22222232818604;214.02;19.8333333333333;290.876666666667;30;112;41.3333333333333;239;0;25.95;7.3;89;0;5;30;10.4444446563721
"B-A-GU4";2.08333325386047;0;0;0;0;0;95.1666641235352;3.41666674613953;212.666666666667;32.3333333333333;203.833333333333;30;63;4.66666666666667;289.5;0;24.7;8.75;36;1.41666670888662;0;43.3333333134651;3.75
